   1.04064250       8.85462612E-02   1.09915471       7.62675479E-02   7.21003711E-02
   1.04238892       8.60689878E-02   1.10216928       7.44325519E-02   7.24423602E-02
   1.04408395       8.34127367E-02   1.10510743       7.24476576E-02   7.27000162E-02
   1.04572427       8.05902332E-02   1.10796309       7.03213289E-02   7.28790909E-02
   1.04730654       7.76140541E-02   1.11073136       6.80621415E-02   7.29855150E-02
   1.04882789       7.44965822E-02   1.11340666       6.56787753E-02   7.30253085E-02
   1.05028558       7.12498426E-02   1.11598420       6.31798655E-02   7.30044022E-02
   1.05167711       6.78855777E-02   1.11845958       6.05741031E-02   7.29286671E-02
   1.05300033       6.44152611E-02   1.12082887       5.78701384E-02   7.28037357E-02
   1.05425310       6.08500578E-02   1.12308824       5.50765991E-02   7.26350248E-02
   1.05543363       5.72008491E-02   1.12523401       5.22020906E-02   7.24276826E-02
   1.05654061       5.34781814E-02   1.12726331       4.92551178E-02   7.21864849E-02
   1.05757236       4.96922880E-02   1.12917352       4.62440960E-02   7.19158202E-02
   1.05852783       4.58532386E-02   1.13096213       4.31774557E-02   7.16197565E-02
   1.05940604       4.19707596E-02   1.13262713       4.00634743E-02   7.13018626E-02
   1.06020641       3.80543768E-02   1.13416672       3.69103998E-02   7.09652603E-02
   1.06092811       3.41132991E-02   1.13557947       3.37262750E-02   7.06126243E-02
   1.06157088       3.01566608E-02   1.13686430       3.05191688E-02   7.02461675E-02
   1.06213439       2.61933655E-02   1.13802063       2.72970572E-02   6.98676035E-02
   1.06261861       2.22322084E-02   1.13904798       2.40678452E-02   6.94781616E-02
   1.06302369       1.82818472E-02   1.13994634       2.08393373E-02   6.90786093E-02
   1.06334996       1.43508613E-02   1.14071536       1.76192895E-02   6.86692819E-02
   1.06359792       1.04475915E-02   1.14135587       1.44152939E-02   6.82500601E-02
   1.06376815       6.58044964E-03   1.14186871       1.12349167E-02   6.78203404E-02
   1.06386149       2.75777280E-03   1.14225483       8.08569789E-03   6.73792064E-02
   1.06387889      -1.01219863E-03   1.14251578       4.97499108E-03   6.69253692E-02
